profit_center,document_date,posting_date,assignment,gl_account,text,doc_number,doc_type,posting_key,amount
3150,1/31/2025,1/31/2025,0000000022,5101020102,BHARADAH SAKTI PT KONSINYASI,100016689,SA,50,-467549
3150,1/31/2025,1/31/2025,0000000040,5101020102,"ABAD DUA SATU MAKMUR, CV KONSINYASI",100016707,SA,50,-224922
3150,1/31/2025,1/31/2025,0000000105,5101020102,BHARADAH SAKTI PT KONSINYASI,100016772,SA,50,-43806
3150,1/31/2025,1/31/2025,0000000173,5101020102,"INTI CITRA AGUNG, PT KONSINYASI",100016840,SA,40,13201
3150,1/31/2025,1/31/2025,0000000213,5101020102,"MARKETING BERKAT INDONESIA, PT  KONSINYASI",100016880,SA,40,290400
3150,2/28/2025,2/28/2025,0000000004,5101020102,"LEBIH KLIRING SURYAPRANA NUTRISINDO, PT",100032768,SA,50,-3599037
3150,2/28/2025,2/28/2025,0000000013,5101020102,"LEBIH KLIRING ABAD DUA SATU MAKMUR, CV",100032768,SA,50,-995705
3150,2/28/2025,2/28/2025,0000000017,5101020102,"LEBIH KLIRING SURYAPRANA NUTRISINDO, PT",100032768,SA,50,-701193
3150,2/28/2025,2/28/2025,0000000040,5101020102,"LEBIH KLIRING VITA SHOPINDO, PT",100032768,SA,50,-69005
3150,2/28/2025,2/28/2025,0000000003,5101020102,"LEBIH KLIRING VITA SHOPINDO, PT",100032775,SA,50,-4387882
3150,2/28/2025,2/28/2025,0000000013,5101020102,"LEBIH KLIRING SURYAPRANA NUTRISINDO, PT",100032775,SA,50,-736065
3150,2/28/2025,2/28/2025,0000000015,5101020102,"LEBIH KLIRING NATURAL NUTRINDO, PT",100032775,SA,50,-560704
3150,2/28/2025,2/28/2025,0000000017,5101020102,"LEBIH KLIRING VITA SHOPINDO, PT",100032775,SA,50,-517747
3150,2/28/2025,2/28/2025,0000000056,5101020102,"LEBIH KLIRING MARINS INTERNATIONAL INDONESIA, PT",100032775,SA,50,-41768
3150,2/28/2025,2/28/2025,0000000058,5101020102,"LEBIH KLIRING NATURAL NUTRINDO, PT",100032775,SA,50,-36678
3150,2/28/2025,2/28/2025,0000000089,5101020102,"KURANG KLIRING INDOCORE PERKASA, PT",100032775,SA,40,237406
3150,2/28/2025,2/28/2025,0000000096,5101020102,"KURANG KLIRING INDOCORE PERKASA, PT",100032775,SA,40,785001
3150,2/28/2025,2/28/2025,0000000104,5101020102,"KURANG KLIRING RADIANT SENTRAL NUTRINDO, PT",100032775,SA,40,10957444
3150,2/28/2025,2/28/2025,0000000005,5101020102,"BACKDATE KONSINYASI VITA SHOPINDO, PT KONSINYASI",100033410,SA,50,-24444279
3150,3/31/2025,3/31/2025,0000000032,5101020102,"LEBIH KLIRING NATURAL NUTRINDO, PT",100048635,SA,50,-692266
3150,3/31/2025,3/31/2025,0000000037,5101020102,"LEBIH KLIRING ABAD DUA SATU MAKMUR, CV",100048635,SA,50,-536350
3150,3/31/2025,3/31/2025,0000000039,5101020102,"LEBIH KLIRING RADIANT SENTRAL NUTRINDO, PT",100048635,SA,50,-476838
3150,3/31/2025,3/31/2025,0000000050,5101020102,"LEBIH KLIRING VITA SHOPINDO, PT",100048635,SA,50,-313723
3150,3/31/2025,3/31/2025,0000000056,5101020102,"LEBIH KLIRING SURYAPRANA NUTRISINDO, PT",100048635,SA,50,-271161
3150,3/31/2025,3/31/2025,0000000079,5101020102,LEBIH KLIRING BHARADAH SAKTI PT,100048635,SA,50,-137825
3150,3/31/2025,3/31/2025,0000000080,5101020102,"LEBIH KLIRING NATURAL NUTRINDO, PT",100048635,SA,50,-135543
3150,3/31/2025,3/31/2025,0000000115,5101020102,"LEBIH KLIRING NATURAL NUTRINDO, PT",100048635,SA,50,-63295
3150,3/31/2025,3/31/2025,0000000118,5101020102,LEBIH KLIRING BHARADAH SAKTI PT,100048635,SA,50,-57004
3150,3/31/2025,3/31/2025,0000000127,5101020102,"LEBIH KLIRING RADIANT SENTRAL NUTRINDO, PT",100048635,SA,50,-44390
3150,3/31/2025,3/31/2025,0000000129,5101020102,"LEBIH KLIRING RADIANT SENTRAL NUTRINDO, PT",100048635,SA,50,-42498
3150,3/31/2025,3/31/2025,0000000143,5101020102,"LEBIH KLIRING MANUNGGAL SUKSES NUTRISINDO, PT",100048635,SA,50,-19236
3150,3/31/2025,3/31/2025,0000000220,5101020102,"KURANG KLIRING ABAD DUA SATU MAKMUR, CV",100048635,SA,40,1103014
3150,2/28/2025,3/31/2025,0000000005,5101020102,"BACKDATE KONSINYASI VITA SHOPINDO, PT KONSINYASI",100048639,AB,40,24444279
3150,4/30/2025,4/30/2025,0000000038,5101020102,"KURANG KLIRING HERMED, PT",100062609,SA,40,4134156
3150,4/30/2025,4/30/2025,0000000039,5101020102,"KURANG KLIRING MITRA MAS SENTOSA, PT",100062609,SA,40,3517627
3150,4/30/2025,4/30/2025,0000000096,5101020102,KURANG KLIRING INDOCORE PERKASA PT,100062609,SA,40,73867
3150,4/30/2025,4/30/2025,0000000131,5101020102,"LEBIH KLIRING VITA SHOPINDO, PT",100062609,SA,50,-18349
3150,4/30/2025,4/30/2025,0000000154,5101020102,LEBIH KLIRING DIVA SUMBER BERKAT PT,100062609,SA,50,-74925
3150,4/30/2025,4/30/2025,0000000174,5101020102,"LEBIH KLIRING VITA SHOPINDO, PT",100062609,SA,50,-247193
3150,4/30/2025,4/30/2025,0000000207,5101020102,"LEBIH KLIRING VITA SHOPINDO, PT",100062609,SA,50,-1044884
3150,4/30/2025,4/30/2025,0000000214,5101020102,"LEBIH KLIRING SURYAPRANA NUTRISINDO, PT",100062609,SA,50,-1747858
3150,4/30/2025,4/30/2025,0000000227,5101020102,"LEBIH KLIRING MITRA MAS SENTOSA, PT",100062609,SA,50,-3596919
3150,4/30/2025,4/30/2025,0000000231,5101020102,"LEBIH KLIRING HERMED, PT",100062609,SA,50,-4312455
BX01,1/1/2025,1/1/2025,20250101,5101020102,,601006276,QA,40,4227888
BX03,1/1/2025,1/1/2025,20250101,5101020102,,601006277,QA,40,529318
BX04,1/1/2025,1/1/2025,20250101,5101020102,,601006278,QA,40,1288742
BX07,1/1/2025,1/1/2025,20250101,5101020102,,601006279,QA,40,1451323
BX08,1/1/2025,1/1/2025,20250101,5101020102,,601006280,QA,40,486650
BX09,1/1/2025,1/1/2025,20250101,5101020102,,601006281,QA,40,2309190
BX10,1/1/2025,1/1/2025,20250101,5101020102,,601006282,QA,40,1331859
BX11,1/1/2025,1/1/2025,20250101,5101020102,,601006283,QA,40,1209603
BX12,1/1/2025,1/1/2025,20250101,5101020102,,601006284,QA,40,690009
