profit_center,nama_outlet,posting_date,account_no,gl_acct_long_text,text,doc_id,doc_type,debit,kredit
BX27,KF Meguwo,1/10/2025,1107010301,Persediaan Barang Jadi,,639000060,QZ,0,-275000
BX29,KF. SIDOARUM,1/7/2025,1107010301,Persediaan Barang Jadi,,640002102,QS,0,-127149
BX50,KF Bhayangkara Kulon,1/7/2025,1107010301,Persediaan Barang Jadi,,640002104,QS,0,-109670
BX03,KF.0070,1/9/2025,1107010301,Persediaan Barang Jadi,,640002182,QS,0,-154800
BX26,KF Sorosutan,1/11/2025,1107010301,Persediaan Barang Jadi,,640002209,QS,0,-36084
BX32,KF. Wonosari,1/7/2025,1107010301,Persediaan Barang Jadi,,640002119,QS,0,-66500
BX14,KF 0416,1/13/2025,1107010301,Persediaan Barang Jadi,,640002259,QS,0,-66500
BX19,KF.0524 Banteng,1/21/2025,1107010301,Persediaan Barang Jadi,,640007670,QS,0,-66500
BX29,KF. SIDOARUM,1/13/2025,1107010301,Persediaan Barang Jadi,,640002242,QS,0,-81946
BX27,KF Meguwo,1/20/2025,1107010301,Persediaan Barang Jadi,,640006048,QS,0,-46400
BX21,KF.0609 Tajem,1/23/2025,1107010301,Persediaan Barang Jadi,,640007658,QS,0,-46400
BX13,KF.0406 Jamal,1/15/2025,1107010301,Persediaan Barang Jadi,,640005158,QS,0,-35374
BX03,KF.0070,1/9/2025,1107010301,Persediaan Barang Jadi,,640002156,QS,0,-256080
BX12,KF.0401 Seturan,1/9/2025,1107010301,Persediaan Barang Jadi,,640002178,QS,0,-40856
BX11,KF.0334 UNY,1/17/2025,1107010301,Persediaan Barang Jadi,,640006001,QS,0,-148000
BX25,KF PETANGPULUHAN,1/8/2025,1107010301,Persediaan Barang Jadi,,640002143,QS,0,-114000
BX26,KF Sorosutan,1/8/2025,1107010301,Persediaan Barang Jadi,,640002125,QS,0,-41705
BX21,KF.0609 Tajem,1/8/2025,1107010301,Persediaan Barang Jadi,,640002126,QS,0,-41705
BX03,KF.0070,1/8/2025,1107010301,Persediaan Barang Jadi,,640002134,QS,0,-41705
BX21,KF.0609 Tajem,1/8/2025,1107010301,Persediaan Barang Jadi,,640002136,QS,0,-41705
BX25,KF PETANGPULUHAN,1/12/2025,1107010301,Persediaan Barang Jadi,,640002226,QS,0,-41705
BX25,KF PETANGPULUHAN,1/12/2025,1107010301,Persediaan Barang Jadi,,640002227,QS,0,-41705
BX51,KF Sudirman Magelang,1/14/2025,1107010301,Persediaan Barang Jadi,,640002274,QS,0,-41705
BX51,KF Sudirman Magelang,1/14/2025,1107010301,Persediaan Barang Jadi,,640002293,QS,0,-41705
BX51,KF Sudirman Magelang,1/14/2025,1107010301,Persediaan Barang Jadi,,640002294,QS,0,-41705
BX01,KF.0021,1/28/2025,1107010301,Persediaan Barang Jadi,,640009447,QS,0,-41705
BX34,KF Kusumanegara,1/6/2025,1107010301,Persediaan Barang Jadi,,640002089,QS,0,-209000
BX41,KF Purwomartani,1/15/2025,1107010301,Persediaan Barang Jadi,,640005165,QS,0,-209000
BX33,KF Titibumi,1/16/2025,1107010301,Persediaan Barang Jadi,,640005995,QS,0,-209000
BX07,KF.0207,1/19/2025,1107010301,Persediaan Barang Jadi,,640006037,QS,0,-209000
BX39,KF Palagan Tengah,1/23/2025,1107010301,Persediaan Barang Jadi,,640007660,QS,0,-209000
BX10,KF.0316,1/10/2025,1107010301,Persediaan Barang Jadi,,639000061,QZ,0,-720000
BX12,KF.0401 Seturan,1/31/2025,1107010301,Persediaan Barang Jadi,,640010698,QS,0,-604200
BX12,KF.0401 Seturan,1/31/2025,1107010301,Persediaan Barang Jadi,,640010700,QS,0,-62629
BX41,KF Purwomartani,1/23/2025,1107010301,Persediaan Barang Jadi,,639000530,QZ,0,-334608
BX33,KF Titibumi,1/30/2025,1107010301,Persediaan Barang Jadi,,639000769,QZ,0,-334608
BX35,KF Bantul,1/31/2025,1107010301,Persediaan Barang Jadi,,639000855,QZ,0,-334608
BX33,KF Titibumi,1/16/2025,1107010301,Persediaan Barang Jadi,,640005996,QS,0,-166250
